,Nasdaq,DJIA,S&P500,QQQ,SOXX,XBI,XOP,IYH,SHY,IEF,TLT
Nasdaq,1.0,0.97,0.99,1.0,0.99,0.87,-0.69,0.97,0.22,0.46,0.54
DJIA,0.97,1.0,0.99,0.97,0.96,0.86,-0.7,0.98,0.07,0.34,0.45
S&P500,0.99,0.99,1.0,0.99,0.98,0.85,-0.68,0.99,0.12,0.38,0.47
QQQ,1.0,0.97,0.99,1.0,0.99,0.85,-0.69,0.97,0.21,0.46,0.54
SOXX,0.99,0.96,0.98,0.99,1.0,0.82,-0.65,0.95,0.19,0.43,0.5
XBI,0.87,0.86,0.85,0.85,0.82,1.0,-0.75,0.87,0.36,0.53,0.61
XOP,-0.69,-0.7,-0.68,-0.69,-0.65,-0.75,1.0,-0.71,-0.36,-0.67,-0.76
IYH,0.97,0.98,0.99,0.97,0.95,0.87,-0.71,1.0,0.1,0.37,0.47
SHY,0.22,0.07,0.12,0.21,0.19,0.36,-0.36,0.1,1.0,0.88,0.78
IEF,0.46,0.34,0.38,0.46,0.43,0.53,-0.67,0.37,0.88,1.0,0.97
TLT,0.54,0.45,0.47,0.54,0.5,0.61,-0.76,0.47,0.78,0.97,1.0
