Date,Nasdaq,DJIA,S&P500,nasdaq_ma5,nasdaq_ma20,nasdaq_ma60,nasdaq_ma120,nasdaq_ma200,dow_ma5,dow_ma20,dow_ma60,dow_ma120,dow_ma200,s_p_ma5,s_p_ma20,s_p_ma60,s_p_ma120,s_p_ma200
2018-01-02,7006.89990234375,24824.009765625,2695.81005859375,6947.2080078125,6897.70595703125,6776.941471354166,6577.231571451823,6375.087541503906,24780.250390625,24575.00517578125,23776.81888020833,22886.007942708333,22128.825048828126,2684.016064453125,2667.020031738281,2609.1461791992188,2542.8466044108072,2483.7720068359376
2018-01-03,7065.52978515625,24922.6796875,2713.06005859375,6973.06396484375,6912.213940429688,6784.86396484375,6583.823986816406,6380.907541503906,24815.544140625,24606.63662109375,23812.63570963541,22914.087858072915,22148.909150390624,2690.528076171875,2670.701037597656,2611.8750122070314,2545.056854248047,2485.4699572753907
2018-01-04,7077.91015625,25075.130859375,2723.989990234375,7000.77802734375,6927.998950195312,6793.166967773437,6590.202652994792,6387.327941894531,24875.71015625,24651.3611328125,23851.203385416666,22942.73277994792,22170.94475585937,2698.80205078125,2675.4220336914063,2614.8626790364583,2547.2628540039063,2487.3698071289064
2018-01-05,7136.56005859375,25295.869140625,2743.14990234375,7038.0580078125,6946.007958984375,6802.322135416666,6597.053735351563,6393.902541503906,24967.38203125,24709.10908203125,23892.28987630208,22973.28401692708,22194.11759765625,2709.9240234375,2681.1160278320312,2618.071179199219,2549.6296040852862,2489.3433068847658
2018-01-08,7157.39013671875,25283.0,2747.7099609375,7088.8580078125,6963.2354736328125,6811.552807617188,6603.829402669271,6400.601042480469,25080.137890625,24762.68505859375,23932.458365885417,23004.186263020834,22217.249697265623,2724.743994140625,2686.6525268554688,2621.279012044271,2552.0221028645838,2491.3520568847657
2018-01-09,7163.580078125,25385.80078125,2751.2900390625,7120.19404296875,6979.410473632813,6821.087312825521,6610.317236328125,6407.275241699219,25192.49609375,24815.51708984375,23974.871549479165,23035.39501953125,22241.19509765625,2735.839990234375,2691.6420288085938,2624.6183471679688,2554.334269205729,2493.3886071777342
2018-01-10,7153.56982421875,25369.130859375,2748.22998046875,7137.80205078125,6993.3349609375,6830.216813151042,6616.680318196614,6413.841240234375,25281.786328125,24864.67216796875,24016.495052083334,23066.706282552084,22265.285849609376,2742.873974609375,2696.0540283203127,2627.869348144531,2556.624102783203,2495.421806640625
2018-01-11,7211.77978515625,25574.73046875,2767.56005859375,7164.5759765625,7010.807958984375,6840.0131429036455,6623.547233072916,6420.524438476563,25381.70625,24918.16865234375,24060.124544270835,23099.9951171875,22289.652001953124,2751.58798828125,2701.226525878906,2631.368017578125,2559.082602945964,2497.466756591797
2018-01-12,7261.06005859375,25803.189453125,2786.239990234375,7189.4759765625,7030.070971679687,6850.636474609375,6630.632649739583,6427.3419897460935,25483.1703125,24979.056640625,24106.887044270832,23135.74527994792,22315.37134765625,2760.206005859375,2707.3960205078124,2635.149348958333,2561.7186869303387,2499.592307128906
2018-01-16,7223.68994140625,25792.859375,2776.419921875,7202.7359375,7048.428979492188,6860.62763671875,6637.39531656901,6433.888740234375,25585.1421875,25043.2666015625,24150.808040364584,23170.573860677083,22340.693193359373,2765.947998046875,2713.616516113281,2638.7353474934894,2564.2127705891926,2501.6341064453127
2018-01-17,7298.27978515625,26115.650390625,2802.56005859375,7229.67587890625,7066.51396484375,6872.181136067708,6644.691398111979,6440.821437988281,25731.112109375,25116.462109375,24200.018229166668,23207.27919921875,22367.955341796875,2776.202001953125,2719.9540161132813,2642.7430135091145,2566.9188537597656,2503.833306884765
2018-01-18,7296.0498046875,26017.810546875,2798.030029296875,7258.171875,7081.578466796875,6883.297802734375,6652.306896972656,6447.8282861328125,25860.848046875,25177.74267578125,24244.837890625,23242.45636393229,22394.79333984375,2786.16201171875,2725.347521972656,2646.456681315104,2569.6072713216145,2506.029256591797
2018-01-19,7336.3798828125,26071.720703125,2810.300048828125,7283.09189453125,7100.204956054688,6895.790299479167,6660.321061197917,6455.017136230469,25960.24609375,25243.5912109375,24291.467220052084,23277.80144856771,22421.7057421875,2794.710009765625,2731.789025878906,2650.5453491210938,2572.425604248047,2508.27995727539
2018-01-22,7408.02978515625,26214.599609375,2832.969970703125,7312.48583984375,7122.558447265625,6909.283626302084,6669.153641764323,6462.734885253906,26042.528125,25317.988671875,24337.68121744792,23313.83045247396,22449.53798828125,2804.056005859375,2739.4750244140623,2654.9426839192706,2575.447853597005,2510.680057373047
2018-01-23,7460.2900390625,26210.810546875,2839.1298828125,7359.805859375,7147.304956054688,6924.223624674479,6678.298225911459,6470.641584472656,26126.118359375,25389.41474609375,24385.7037109375,23349.22120768229,22477.277294921874,2816.597998046875,2747.203015136719,2659.6423502604166,2578.471018473307,2513.088256835937
2018-01-24,7415.06005859375,26252.119140625,2837.5400390625,7383.1619140625,7170.0599609375,6938.528458658854,6687.068310546875,6478.327834472656,26153.412109375,25464.31767578125,24433.22470703125,23384.52019856771,22505.257392578125,2823.593994140625,2754.9130126953123,2664.2613525390625,2581.470768229167,2515.4982568359374
2018-01-25,7411.16015625,26392.7890625,2839.25,7406.183984375,7193.80546875,6950.360131835938,6695.991813151041,6485.978984375,26228.4078125,25546.64658203125,24482.534700520835,23420.90927734375,22533.93124023437,2831.83798828125,2762.8505126953123,2668.56435139974,2584.529852294922,2517.9087072753905
2018-01-26,7505.77001953125,26616.7109375,2872.8701171875,7440.06201171875,7222.126977539063,6963.806966145833,6705.610229492188,6494.173984375,26337.405859375,25638.76708984375,24537.00087890625,23458.608447265626,22563.758291015623,2844.352001953125,2772.3630126953126,2673.565018717448,2587.830185953776,2520.504157714844
2018-01-29,7466.509765625,26439.48046875,2853.530029296875,7451.7580078125,7247.944458007812,6976.120963541666,6714.633060709635,6502.325732421875,26382.38203125,25718.865625,24588.038216145836,23494.61728515625,22592.996396484374,2848.464013671875,2780.662512207032,2678.202852376302,2590.9353535970054,2523.047158203125
2018-01-30,7402.47998046875,26076.890625,2822.429931640625,7440.19599609375,7272.898950195313,6987.553466796875,6723.233227539063,6510.3123828125,26355.598046875,25786.74912109375,24632.069563802084,23527.88020833333,22621.114599609376,2845.1240234375,2788.103503417969,2682.254016113281,2593.831270345052,2525.514558105469
